rotation_25001,rotation_25002,rotation_25003,rotation_25004,rotation_25005,min_normalized_ratio,layerA_joint_pass,reachability_joint_pass,overall_joint_pass
1,0,2,4,0,0.914877293462791,False,False,False
1,0,2,4,1,0.914877293462791,False,False,False
1,0,2,4,2,0.914877293462791,False,False,False
1,0,2,4,3,0.9024889734973081,False,False,False
1,0,2,4,4,0.901125881208928,False,False,False
1,0,2,4,5,0.914877293462791,False,False,False
1,0,2,5,0,0.8656432388998185,False,False,False
1,0,2,5,1,0.8656432388998185,False,False,False
1,0,2,5,2,0.914877293462791,False,False,False
1,0,2,5,3,0.9024889734973081,False,False,False
1,0,2,5,4,0.901125881208928,False,False,False
1,0,2,5,5,0.8656432388998185,False,False,False
1,0,3,0,0,0.7317454306296416,False,False,False
1,0,3,0,1,0.8656432388998185,False,False,False
1,0,3,0,2,0.7974260780320739,False,False,False
1,0,3,0,3,0.9024889734973081,False,False,False
1,0,3,0,4,0.901125881208928,False,False,False
1,0,3,0,5,0.8656432388998185,False,False,False
1,0,3,1,0,0.8656432388998185,False,False,False
1,0,3,1,1,0.8656432388998185,False,False,False
1,0,3,1,2,0.9530318709302925,False,False,False
1,0,3,1,3,0.9024889734973081,False,False,False
1,0,3,1,4,0.901125881208928,False,False,False
1,0,3,1,5,0.8656432388998185,False,False,False
1,0,3,2,0,0.9407965865810476,False,False,False
1,0,3,2,1,0.9407965865810476,False,False,False
1,0,3,2,2,0.9407965865810476,False,False,False
1,0,3,2,3,0.9024889734973081,False,False,False
1,0,3,2,4,0.901125881208928,False,False,False
1,0,3,2,5,0.9407965865810476,False,False,False
1,0,3,3,0,0.9472255180574932,False,False,False
1,0,3,3,1,0.9536080864412759,False,False,False
1,0,3,3,2,0.9472255180574932,False,False,False
1,0,3,3,3,0.9024889734973081,False,False,False
1,0,3,3,4,0.901125881208928,False,False,False
1,0,3,3,5,0.949100178817957,False,False,False
1,0,3,4,0,0.9314758013867078,False,False,False
1,0,3,4,1,0.9314758013867078,False,False,False
1,0,3,4,2,0.9530318709302925,False,False,False
1,0,3,4,3,0.9024889734973081,False,False,False
1,0,3,4,4,0.901125881208928,False,False,False
1,0,3,4,5,0.9314758013867078,False,False,False
1,0,3,5,0,0.8656432388998185,False,False,False
1,0,3,5,1,0.8656432388998185,False,False,False
1,0,3,5,2,0.9472255180574932,False,False,False
1,0,3,5,3,0.9024889734973081,False,False,False
1,0,3,5,4,0.901125881208928,False,False,False
1,0,3,5,5,0.8656432388998185,False,False,False
1,0,4,0,0,0.7317454306296416,False,False,False
1,0,4,0,1,0.8656432388998185,False,False,False
1,0,4,0,2,0.7974260780320739,False,False,False
1,0,4,0,3,0.9024889734973081,False,False,False
1,0,4,0,4,0.8566605826512761,False,False,False
1,0,4,0,5,0.8566605826512761,False,False,False
1,0,4,1,0,0.8656432388998185,False,False,False
1,0,4,1,1,0.8656432388998185,False,False,False
1,0,4,1,2,0.9500662442438176,False,False,False
1,0,4,1,3,0.9024889734973081,False,False,False
1,0,4,1,4,0.901125881208928,False,False,False
1,0,4,1,5,0.8656432388998185,False,False,False
1,0,4,2,0,0.8985131626950952,False,False,False
1,0,4,2,1,0.9407965865810476,False,False,False
1,0,4,2,2,0.9407965865810476,False,False,False
1,0,4,2,3,0.9024889734973081,False,False,False
1,0,4,2,4,0.8985131626950952,False,False,False
1,0,4,2,5,0.8985131626950952,False,False,False
1,0,4,3,0,0.8549630868682049,False,False,False
1,0,4,3,1,0.9500662442438176,False,False,False
1,0,4,3,2,0.8825249633272191,False,False,False
1,0,4,3,3,0.8077485006867414,False,False,False
1,0,4,3,4,0.8077485006867414,False,False,False
1,0,4,3,5,0.8312291073620008,False,False,False
1,0,4,4,0,0.8963624162481518,False,False,False
1,0,4,4,1,0.9314758013867078,False,False,False
1,0,4,4,2,0.9500662442438176,False,False,False
1,0,4,4,3,0.8077485006867414,False,False,False
1,0,4,4,4,0.8077485006867414,False,False,False
1,0,4,4,5,0.8312291073620008,False,False,False
1,0,4,5,0,0.8656432388998185,False,False,False
1,0,4,5,1,0.8656432388998185,False,False,False
1,0,4,5,2,0.9382181657523188,False,False,False
1,0,4,5,3,0.8077485006867414,False,False,False
1,0,4,5,4,0.8077485006867414,False,False,False
1,0,4,5,5,0.8312291073620008,False,False,False
1,0,5,0,0,0.7317454306296416,False,False,False
1,0,5,0,1,0.8656432388998185,False,False,False
1,0,5,0,2,0.7974260780320739,False,False,False
1,0,5,0,3,0.9024889734973081,False,False,False
1,0,5,0,4,0.901125881208928,False,False,False
1,0,5,0,5,0.8656432388998185,False,False,False
1,0,5,1,0,0.8656432388998185,False,False,False
1,0,5,1,1,0.8656432388998185,False,False,False
1,0,5,1,2,0.9509181073612457,False,False,False
1,0,5,1,3,0.9024889734973081,False,False,False
1,0,5,1,4,0.901125881208928,False,False,False
1,0,5,1,5,0.8656432388998185,False,False,False
1,0,5,2,0,0.9214005992328653,False,False,False
1,0,5,2,1,0.9407965865810476,False,False,False
1,0,5,2,2,0.9407965865810476,False,False,False
1,0,5,2,3,0.9024889734973081,False,False,False
1,0,5,2,4,0.901125881208928,False,False,False
1,0,5,2,5,0.9214005992328653,False,False,False
1,0,5,3,0,0.9097854387002735,False,False,False
1,0,5,3,1,0.9509181073612457,False,False,False
1,0,5,3,2,0.9509181073612457,False,False,False
1,0,5,3,3,0.8427224886478651,False,False,False
1,0,5,3,4,0.8427224886478651,False,False,False
1,0,5,3,5,0.8427224886478651,False,False,False
1,0,5,4,0,0.9097854387002735,False,False,False
1,0,5,4,1,0.9314758013867078,False,False,False
1,0,5,4,2,0.9509181073612457,False,False,False
1,0,5,4,3,0.8427224886478651,False,False,False
1,0,5,4,4,0.8427224886478651,False,False,False
1,0,5,4,5,0.8427224886478651,False,False,False
1,0,5,5,0,0.8456723517521618,False,False,False
1,0,5,5,1,0.8656432388998185,False,False,False
1,0,5,5,2,0.9509181073612457,False,False,False
1,0,5,5,3,0.8427224886478651,False,False,False
1,0,5,5,4,0.8427224886478651,False,False,False
1,0,5,5,5,0.8427224886478651,False,False,False
1,1,0,0,0,0.8174165306186695,False,False,False
1,1,0,0,1,0.7249554884953544,False,False,False
1,1,0,0,2,0.8174165306186695,False,False,False
1,1,0,0,3,0.9024889734973081,False,False,False
1,1,0,0,4,0.901125881208928,False,False,False
1,1,0,0,5,0.7340358352876047,False,False,False
1,1,0,1,0,0.8289833946989451,False,False,False
1,1,0,1,1,0.7695119255318558,False,False,False
1,1,0,1,2,0.9053242945685442,False,False,False
1,1,0,1,3,0.9024889734973081,False,False,False
1,1,0,1,4,0.901125881208928,False,False,False
1,1,0,1,5,0.7695119255318558,False,False,False
1,1,0,2,0,0.9053242945685442,False,False,False
1,1,0,2,1,0.9053242945685442,False,False,False
1,1,0,2,2,0.9097214909951143,False,False,False
1,1,0,2,3,0.9024889734973081,False,False,False
1,1,0,2,4,0.901125881208928,False,False,False
1,1,0,2,5,0.9053242945685442,False,False,False
1,1,0,3,0,0.9053242945685442,False,False,False
1,1,0,3,1,0.9053242945685442,False,False,False
1,1,0,3,2,0.9097214909951143,False,False,False
1,1,0,3,3,0.9024889734973081,False,False,False
1,1,0,3,4,0.901125881208928,False,False,False
1,1,0,3,5,0.9053242945685442,False,False,False
1,1,0,4,0,0.9053242945685442,False,False,False
1,1,0,4,1,0.9053242945685442,False,False,False
1,1,0,4,2,0.9097214909951143,False,False,False
1,1,0,4,3,0.9024889734973081,False,False,False
1,1,0,4,4,0.901125881208928,False,False,False
1,1,0,4,5,0.9053242945685442,False,False,False
1,1,0,5,0,0.8289833946989451,False,False,False
1,1,0,5,1,0.7210030097154141,False,False,False
1,1,0,5,2,0.9053242945685442,False,False,False
1,1,0,5,3,0.9024889734973081,False,False,False
1,1,0,5,4,0.901125881208928,False,False,False
1,1,0,5,5,0.7340358352876047,False,False,False
1,1,1,0,0,0.7249554884953544,False,False,False
1,1,1,0,1,0.7245377212640862,False,False,False
1,1,1,0,2,0.7249554884953544,False,False,False
1,1,1,0,3,0.7249554884953544,False,False,False
1,1,1,0,4,0.7249554884953544,False,False,False
1,1,1,0,5,0.7249554884953544,False,False,False
1,1,1,1,0,0.7695119255318558,False,False,False
1,1,1,1,1,0.7245377212640862,False,False,False
1,1,1,1,2,0.7695119255318558,False,False,False
1,1,1,1,3,0.7695119255318558,False,False,False
1,1,1,1,4,0.7695119255318558,False,False,False
1,1,1,1,5,0.7340358352876047,False,False,False
1,1,1,2,0,0.8289833946989451,False,False,False
1,1,1,2,1,0.7245377212640862,False,False,False
1,1,1,2,2,0.868593011881834,False,False,False
1,1,1,2,3,0.868593011881834,False,False,False
1,1,1,2,4,0.868593011881834,False,False,False
1,1,1,2,5,0.7340358352876047,False,False,False
1,1,1,3,0,0.8289833946989451,False,False,False
1,1,1,3,1,0.7245377212640862,False,False,False
1,1,1,3,2,0.868593011881834,False,False,False
1,1,1,3,3,0.868593011881834,False,False,False
1,1,1,3,4,0.868593011881834,False,False,False
1,1,1,3,5,0.7340358352876047,False,False,False
1,1,1,4,0,0.8289833946989451,False,False,False
1,1,1,4,1,0.7245377212640862,False,False,False
1,1,1,4,2,0.868593011881834,False,False,False
1,1,1,4,3,0.868593011881834,False,False,False
1,1,1,4,4,0.868593011881834,False,False,False
1,1,1,4,5,0.7340358352876047,False,False,False
1,1,1,5,0,0.7245377212640862,False,False,False
1,1,1,5,1,0.7210030097154141,False,False,False
1,1,1,5,2,0.7245377212640862,False,False,False
1,1,1,5,3,0.7245377212640862,False,False,False
1,1,1,5,4,0.7245377212640862,False,False,False
1,1,1,5,5,0.7245377212640862,False,False,False
1,1,2,0,0,0.8289833946989451,False,False,False
1,1,2,0,1,0.7249554884953544,False,False,False
1,1,2,0,2,0.914877293462791,False,False,False
1,1,2,0,3,0.9024889734973081,False,False,False
1,1,2,0,4,0.901125881208928,False,False,False
1,1,2,0,5,0.7340358352876047,False,False,False
1,1,2,1,0,0.8289833946989451,False,False,False
1,1,2,1,1,0.7695119255318558,False,False,False
1,1,2,1,2,0.914877293462791,False,False,False
1,1,2,1,3,0.9024889734973081,False,False,False
1,1,2,1,4,0.901125881208928,False,False,False
1,1,2,1,5,0.7695119255318558,False,False,False
1,1,2,2,0,0.914877293462791,False,False,False
1,1,2,2,1,0.9066937652975675,False,False,False
1,1,2,2,2,0.9066937652975675,False,False,False
1,1,2,2,3,0.9024889734973081,False,False,False
1,1,2,2,4,0.901125881208928,False,False,False
1,1,2,2,5,0.914877293462791,False,False,False
1,1,2,3,0,0.9098246225923496,False,False,False
1,1,2,3,1,0.9066937652975675,False,False,False
1,1,2,3,2,0.9066937652975675,False,False,False
1,1,2,3,3,0.9024889734973081,False,False,False
1,1,2,3,4,0.901125881208928,False,False,False
1,1,2,3,5,0.914877293462791,False,False,False
1,1,2,4,0,0.914877293462791,False,False,False
1,1,2,4,1,0.914877293462791,False,False,False
1,1,2,4,2,0.914877293462791,False,False,False
1,1,2,4,3,0.9024889734973081,False,False,False
1,1,2,4,4,0.901125881208928,False,False,False
1,1,2,4,5,0.914877293462791,False,False,False
1,1,2,5,0,0.8289833946989451,False,False,False
1,1,2,5,1,0.7210030097154141,False,False,False
1,1,2,5,2,0.914877293462791,False,False,False
1,1,2,5,3,0.9024889734973081,False,False,False
1,1,2,5,4,0.901125881208928,False,False,False
1,1,2,5,5,0.7340358352876047,False,False,False
1,1,3,0,0,0.8289833946989451,False,False,False
1,1,3,0,1,0.7249554884953544,False,False,False
1,1,3,0,2,0.9273783805955632,False,False,False
1,1,3,0,3,0.9024889734973081,False,False,False
1,1,3,0,4,0.901125881208928,False,False,False
1,1,3,0,5,0.7340358352876047,False,False,False
1,1,3,1,0,0.8289833946989451,False,False,False
1,1,3,1,1,0.7695119255318558,False,False,False
1,1,3,1,2,0.9187869897274318,False,False,False
1,1,3,1,3,0.9024889734973081,False,False,False
1,1,3,1,4,0.901125881208928,False,False,False
1,1,3,1,5,0.7695119255318558,False,False,False
1,1,3,2,0,0.9407965865810476,False,False,False
1,1,3,2,1,0.9187869897274318,False,False,False
1,1,3,2,2,0.9187869897274318,False,False,False
1,1,3,2,3,0.9024889734973081,False,False,False
1,1,3,2,4,0.901125881208928,False,False,False
1,1,3,2,5,0.9407965865810476,False,False,False
1,1,3,3,0,0.9472255180574932,False,False,False
1,1,3,3,1,0.9187869897274318,False,False,False
1,1,3,3,2,0.9187869897274318,False,False,False
1,1,3,3,3,0.9024889734973081,False,False,False
1,1,3,3,4,0.901125881208928,False,False,False
1,1,3,3,5,0.949100178817957,False,False,False
1,1,3,4,0,0.9314758013867078,False,False,False
1,1,3,4,1,0.9276883819911147,False,False,False
1,1,3,4,2,0.9276883819911147,False,False,False
1,1,3,4,3,0.9024889734973081,False,False,False
1,1,3,4,4,0.901125881208928,False,False,False
1,1,3,4,5,0.9314758013867078,False,False,False
1,1,3,5,0,0.8289833946989451,False,False,False
1,1,3,5,1,0.7210030097154141,False,False,False
1,1,3,5,2,0.9472255180574932,False,False,False
1,1,3,5,3,0.9024889734973081,False,False,False
1,1,3,5,4,0.901125881208928,False,False,False
1,1,3,5,5,0.7340358352876047,False,False,False
1,1,4,0,0,0.8289833946989451,False,False,False
1,1,4,0,1,0.7249554884953544,False,False,False
1,1,4,0,2,0.9273783805955632,False,False,False
1,1,4,0,3,0.9024889734973081,False,False,False
1,1,4,0,4,0.8566605826512761,False,False,False
1,1,4,0,5,0.7340358352876047,False,False,False
1,1,4,1,0,0.8289833946989451,False,False,False
1,1,4,1,1,0.7695119255318558,False,False,False
1,1,4,1,2,0.9187869897274318,False,False,False
1,1,4,1,3,0.9024889734973081,False,False,False
1,1,4,1,4,0.901125881208928,False,False,False
1,1,4,1,5,0.7695119255318558,False,False,False
1,1,4,2,0,0.8985131626950952,False,False,False
1,1,4,2,1,0.9187869897274318,False,False,False
1,1,4,2,2,0.9187869897274318,False,False,False
1,1,4,2,3,0.9024889734973081,False,False,False
1,1,4,2,4,0.8985131626950952,False,False,False
1,1,4,2,5,0.8985131626950952,False,False,False
1,1,4,3,0,0.8549630868682049,False,False,False
1,1,4,3,1,0.9187869897274318,False,False,False
1,1,4,3,2,0.8825249633272191,False,False,False
1,1,4,3,3,0.8077485006867414,False,False,False
1,1,4,3,4,0.8077485006867414,False,False,False
1,1,4,3,5,0.8312291073620008,False,False,False
1,1,4,4,0,0.8963624162481518,False,False,False
1,1,4,4,1,0.9276883819911147,False,False,False
1,1,4,4,2,0.9276883819911147,False,False,False
1,1,4,4,3,0.8077485006867414,False,False,False
1,1,4,4,4,0.8077485006867414,False,False,False
1,1,4,4,5,0.8312291073620008,False,False,False
1,1,4,5,0,0.8289833946989451,False,False,False
1,1,4,5,1,0.7210030097154141,False,False,False
1,1,4,5,2,0.9382181657523188,False,False,False
1,1,4,5,3,0.8077485006867414,False,False,False
1,1,4,5,4,0.8077485006867414,False,False,False
1,1,4,5,5,0.7340358352876047,False,False,False
1,1,5,0,0,0.8289833946989451,False,False,False
1,1,5,0,1,0.7249554884953544,False,False,False
1,1,5,0,2,0.9273783805955632,False,False,False
1,1,5,0,3,0.9024889734973081,False,False,False
1,1,5,0,4,0.901125881208928,False,False,False
1,1,5,0,5,0.7340358352876047,False,False,False
1,1,5,1,0,0.8289833946989451,False,False,False
1,1,5,1,1,0.7695119255318558,False,False,False
1,1,5,1,2,0.9187869897274318,False,False,False
1,1,5,1,3,0.9024889734973081,False,False,False
1,1,5,1,4,0.901125881208928,False,False,False
1,1,5,1,5,0.7695119255318558,False,False,False
1,1,5,2,0,0.9214005992328653,False,False,False
1,1,5,2,1,0.9187869897274318,False,False,False
1,1,5,2,2,0.9187869897274318,False,False,False
1,1,5,2,3,0.9024889734973081,False,False,False
1,1,5,2,4,0.901125881208928,False,False,False
1,1,5,2,5,0.9214005992328653,False,False,False
1,1,5,3,0,0.9097854387002735,False,False,False
1,1,5,3,1,0.9187869897274318,False,False,False
1,1,5,3,2,0.9187869897274318,False,False,False
1,1,5,3,3,0.8427224886478651,False,False,False
1,1,5,3,4,0.8427224886478651,False,False,False
1,1,5,3,5,0.8427224886478651,False,False,False
1,1,5,4,0,0.9097854387002735,False,False,False
1,1,5,4,1,0.9276883819911147,False,False,False
1,1,5,4,2,0.9276883819911147,False,False,False
1,1,5,4,3,0.8427224886478651,False,False,False
1,1,5,4,4,0.8427224886478651,False,False,False
1,1,5,4,5,0.8427224886478651,False,False,False
1,1,5,5,0,0.8289833946989451,False,False,False
1,1,5,5,1,0.7210030097154141,False,False,False
1,1,5,5,2,0.9530318709302925,False,False,False
1,1,5,5,3,0.8427224886478651,False,False,False
1,1,5,5,4,0.8427224886478651,False,False,False
1,1,5,5,5,0.7340358352876047,False,False,False
1,2,0,0,0,0.8174165306186695,False,False,False
1,2,0,0,1,0.9053242945685442,False,False,False
1,2,0,0,2,0.8174165306186695,False,False,False
1,2,0,0,3,0.9024889734973081,False,False,False
1,2,0,0,4,0.901125881208928,False,False,False
1,2,0,0,5,0.9053242945685442,False,False,False
1,2,0,1,0,0.9053242945685442,False,False,False
1,2,0,1,1,0.8882262371348628,False,False,False
1,2,0,1,2,0.8967189769808412,False,False,False
1,2,0,1,3,0.9024889734973081,False,False,False
1,2,0,1,4,0.901125881208928,False,False,False
1,2,0,1,5,0.9053242945685442,False,False,False
1,2,0,2,0,0.9097214909951143,False,False,False
1,2,0,2,1,0.8650443262819426,False,False,False
1,2,0,2,2,0.8650443262819426,False,False,False
1,2,0,2,3,0.9024889734973081,False,False,False
1,2,0,2,4,0.8721169798305006,False,False,False
1,2,0,2,5,0.9097214909951143,False,False,False
1,2,0,3,0,0.9097214909951143,False,False,False
1,2,0,3,1,0.8881647932073964,False,False,False
1,2,0,3,2,0.8881647932073964,False,False,False
1,2,0,3,3,0.9024889734973081,False,False,False
1,2,0,3,4,0.8881647932073964,False,False,False
1,2,0,3,5,0.9097214909951143,False,False,False
1,2,0,4,0,0.9097214909951143,False,False,False
1,2,0,4,1,0.9097214909951143,False,False,False
1,2,0,4,2,0.9097214909951143,False,False,False
1,2,0,4,3,0.9024889734973081,False,False,False
1,2,0,4,4,0.901125881208928,False,False,False
1,2,0,4,5,0.9097214909951143,False,False,False
1,2,0,5,0,0.9053242945685442,False,False,False
1,2,0,5,1,0.9053242945685442,False,False,False
1,2,0,5,2,0.9097214909951143,False,False,False
1,2,0,5,3,0.9024889734973081,False,False,False
1,2,0,5,4,0.901125881208928,False,False,False
1,2,0,5,5,0.9053242945685442,False,False,False
1,2,1,0,0,0.8289833946989451,False,False,False
1,2,1,0,1,0.7249554884953544,False,False,False
1,2,1,0,2,0.868593011881834,False,False,False
1,2,1,0,3,0.868593011881834,False,False,False
1,2,1,0,4,0.868593011881834,False,False,False
1,2,1,0,5,0.7340358352876047,False,False,False
1,2,1,1,0,0.8289833946989451,False,False,False
1,2,1,1,1,0.7695119255318558,False,False,False
1,2,1,1,2,0.868593011881834,False,False,False
1,2,1,1,3,0.868593011881834,False,False,False
1,2,1,1,4,0.868593011881834,False,False,False
1,2,1,1,5,0.7695119255318558,False,False,False
1,2,1,2,0,0.868593011881834,False,False,False
1,2,1,2,1,0.8650443262819426,False,False,False
1,2,1,2,2,0.8650443262819426,False,False,False
1,2,1,2,3,0.868593011881834,False,False,False
1,2,1,2,4,0.868593011881834,False,False,False
1,2,1,2,5,0.868593011881834,False,False,False
1,2,1,3,0,0.868593011881834,False,False,False
1,2,1,3,1,0.868593011881834,False,False,False
1,2,1,3,2,0.868593011881834,False,False,False
1,2,1,3,3,0.868593011881834,False,False,False
1,2,1,3,4,0.868593011881834,False,False,False
1,2,1,3,5,0.868593011881834,False,False,False
1,2,1,4,0,0.868593011881834,False,False,False
1,2,1,4,1,0.868593011881834,False,False,False
1,2,1,4,2,0.868593011881834,False,False,False
1,2,1,4,3,0.868593011881834,False,False,False
1,2,1,4,4,0.868593011881834,False,False,False
1,2,1,4,5,0.868593011881834,False,False,False
1,2,1,5,0,0.8289833946989451,False,False,False
1,2,1,5,1,0.7245377212640862,False,False,False
1,2,1,5,2,0.868593011881834,False,False,False
1,2,1,5,3,0.868593011881834,False,False,False
1,2,1,5,4,0.868593011881834,False,False,False
1,2,1,5,5,0.7340358352876047,False,False,False
1,2,2,0,0,0.914877293462791,False,False,False
1,2,2,0,1,0.9066937652975675,False,False,False
1,2,2,0,2,0.9066937652975675,False,False,False
1,2,2,0,3,0.9024889734973081,False,False,False
1,2,2,0,4,0.901125881208928,False,False,False
1,2,2,0,5,0.914877293462791,False,False,False
1,2,2,1,0,0.914877293462791,False,False,False
1,2,2,1,1,0.8882262371348628,False,False,False
1,2,2,1,2,0.8967189769808412,False,False,False
1,2,2,1,3,0.9024889734973081,False,False,False
1,2,2,1,4,0.901125881208928,False,False,False
1,2,2,1,5,0.914877293462791,False,False,False
1,2,2,2,0,0.9066937652975675,False,False,False
1,2,2,2,1,0.8650443262819426,False,False,False
1,2,2,2,2,0.8650443262819426,False,False,False
1,2,2,2,3,0.9024889734973081,False,False,False
1,2,2,2,4,0.8721169798305006,False,False,False
1,2,2,2,5,0.9066937652975675,False,False,False
1,2,2,3,0,0.9066937652975675,False,False,False
1,2,2,3,1,0.8881647932073964,False,False,False
1,2,2,3,2,0.8881647932073964,False,False,False
1,2,2,3,3,0.9024889734973081,False,False,False
1,2,2,3,4,0.8881647932073964,False,False,False
1,2,2,3,5,0.9066937652975675,False,False,False
1,2,2,4,0,0.914877293462791,False,False,False
1,2,2,4,1,0.9066937652975675,False,False,False
1,2,2,4,2,0.9066937652975675,False,False,False
1,2,2,4,3,0.9024889734973081,False,False,False
1,2,2,4,4,0.901125881208928,False,False,False
1,2,2,4,5,0.914877293462791,False,False,False
1,2,2,5,0,0.914877293462791,False,False,False
1,2,2,5,1,0.9066937652975675,False,False,False
1,2,2,5,2,0.9066937652975675,False,False,False
1,2,2,5,3,0.9024889734973081,False,False,False
1,2,2,5,4,0.901125881208928,False,False,False
1,2,2,5,5,0.914877293462791,False,False,False
1,2,3,0,0,0.9197629220868211,False,False,False
1,2,3,0,1,0.9197629220868211,False,False,False
1,2,3,0,2,0.9339836692614952,False,False,False
1,2,3,0,3,0.9024889734973081,False,False,False
1,2,3,0,4,0.901125881208928,False,False,False
1,2,3,0,5,0.9197629220868211,False,False,False
1,2,3,1,0,0.9197629220868211,False,False,False
1,2,3,1,1,0.8882262371348628,False,False,False
1,2,3,1,2,0.8967189769808412,False,False,False
1,2,3,1,3,0.9024889734973081,False,False,False
1,2,3,1,4,0.901125881208928,False,False,False
1,2,3,1,5,0.9197629220868211,False,False,False
1,2,3,2,0,0.9407965865810476,False,False,False
1,2,3,2,1,0.8650443262819426,False,False,False
1,2,3,2,2,0.8650443262819426,False,False,False
1,2,3,2,3,0.9024889734973081,False,False,False
1,2,3,2,4,0.8721169798305006,False,False,False
1,2,3,2,5,0.9407965865810476,False,False,False
1,2,3,3,0,0.9472255180574932,False,False,False
1,2,3,3,1,0.8881647932073964,False,False,False
1,2,3,3,2,0.8881647932073964,False,False,False
1,2,3,3,3,0.9024889734973081,False,False,False
1,2,3,3,4,0.8881647932073964,False,False,False
1,2,3,3,5,0.949100178817957,False,False,False
1,2,3,4,0,0.9314758013867078,False,False,False
1,2,3,4,1,0.9276883819911147,False,False,False
1,2,3,4,2,0.9276883819911147,False,False,False
1,2,3,4,3,0.9024889734973081,False,False,False
1,2,3,4,4,0.901125881208928,False,False,False
1,2,3,4,5,0.9314758013867078,False,False,False
1,2,3,5,0,0.9197629220868211,False,False,False
1,2,3,5,1,0.9197629220868211,False,False,False
1,2,3,5,2,0.9472255180574932,False,False,False
1,2,3,5,3,0.9024889734973081,False,False,False
1,2,3,5,4,0.901125881208928,False,False,False
1,2,3,5,5,0.9197629220868211,False,False,False
1,2,4,0,0,0.8963624162481518,False,False,False
1,2,4,0,1,0.9197629220868211,False,False,False
1,2,4,0,2,0.9339836692614952,False,False,False
1,2,4,0,3,0.9024889734973081,False,False,False
1,2,4,0,4,0.8566605826512761,False,False,False
1,2,4,0,5,0.8566605826512761,False,False,False
1,2,4,1,0,0.9197629220868211,False,False,False
1,2,4,1,1,0.8882262371348628,False,False,False
1,2,4,1,2,0.8967189769808412,False,False,False
1,2,4,1,3,0.9024889734973081,False,False,False
1,2,4,1,4,0.901125881208928,False,False,False
1,2,4,1,5,0.9197629220868211,False,False,False
1,2,4,2,0,0.8985131626950952,False,False,False
1,2,4,2,1,0.8650443262819426,False,False,False
1,2,4,2,2,0.8650443262819426,False,False,False
1,2,4,2,3,0.9024889734973081,False,False,False
1,2,4,2,4,0.8721169798305006,False,False,False
1,2,4,2,5,0.8985131626950952,False,False,False
1,2,4,3,0,0.8549630868682049,False,False,False
1,2,4,3,1,0.8881647932073964,False,False,False
1,2,4,3,2,0.8825249633272191,False,False,False
1,2,4,3,3,0.8077485006867414,False,False,False
1,2,4,3,4,0.8077485006867414,False,False,False
1,2,4,3,5,0.8312291073620008,False,False,False
1,2,4,4,0,0.8963624162481518,False,False,False
1,2,4,4,1,0.9276883819911147,False,False,False
1,2,4,4,2,0.9276883819911147,False,False,False
1,2,4,4,3,0.8077485006867414,False,False,False
1,2,4,4,4,0.8077485006867414,False,False,False
1,2,4,4,5,0.8312291073620008,False,False,False
1,2,4,5,0,0.8963624162481518,False,False,False
1,2,4,5,1,0.9197629220868211,False,False,False
1,2,4,5,2,0.9382181657523188,False,False,False
1,2,4,5,3,0.8077485006867414,False,False,False
1,2,4,5,4,0.8077485006867414,False,False,False
1,2,4,5,5,0.8312291073620008,False,False,False
1,2,5,0,0,0.8633339977143347,False,False,False
1,2,5,0,1,0.9197629220868211,False,False,False
1,2,5,0,2,0.9339836692614952,False,False,False
1,2,5,0,3,0.9024889734973081,False,False,False
1,2,5,0,4,0.901125881208928,False,False,False
1,2,5,0,5,0.9113779906217812,False,False,False
1,2,5,1,0,0.9197629220868211,False,False,False
1,2,5,1,1,0.8882262371348628,False,False,False
1,2,5,1,2,0.8967189769808412,False,False,False
1,2,5,1,3,0.9024889734973081,False,False,False
1,2,5,1,4,0.901125881208928,False,False,False
1,2,5,1,5,0.9197629220868211,False,False,False
1,2,5,2,0,0.9214005992328653,False,False,False
1,2,5,2,1,0.8650443262819426,False,False,False
1,2,5,2,2,0.8650443262819426,False,False,False
1,2,5,2,3,0.9024889734973081,False,False,False
1,2,5,2,4,0.8721169798305006,False,False,False
1,2,5,2,5,0.9214005992328653,False,False,False
1,2,5,3,0,0.9097854387002735,False,False,False
1,2,5,3,1,0.8881647932073964,False,False,False
1,2,5,3,2,0.8881647932073964,False,False,False
1,2,5,3,3,0.8427224886478651,False,False,False
1,2,5,3,4,0.8427224886478651,False,False,False
1,2,5,3,5,0.8427224886478651,False,False,False
1,2,5,4,0,0.9097854387002735,False,False,False
1,2,5,4,1,0.9276883819911147,False,False,False
1,2,5,4,2,0.9276883819911147,False,False,False
1,2,5,4,3,0.8427224886478651,False,False,False
1,2,5,4,4,0.8427224886478651,False,False,False
1,2,5,4,5,0.8427224886478651,False,False,False
1,2,5,5,0,0.8456723517521618,False,False,False
1,2,5,5,1,0.9197629220868211,False,False,False
1,2,5,5,2,0.9530318709302925,False,False,False
1,2,5,5,3,0.8427224886478651,False,False,False
1,2,5,5,4,0.8427224886478651,False,False,False
1,2,5,5,5,0.8427224886478651,False,False,False
1,3,0,0,0,0.8174165306186695,False,False,False
1,3,0,0,1,0.9053242945685442,False,False,False
1,3,0,0,2,0.8174165306186695,False,False,False
1,3,0,0,3,0.9024889734973081,False,False,False
1,3,0,0,4,0.901125881208928,False,False,False
1,3,0,0,5,0.9053242945685442,False,False,False
1,3,0,1,0,0.9053242945685442,False,False,False
1,3,0,1,1,0.9053242945685442,False,False,False
1,3,0,1,2,0.9123105666847062,False,False,False
